species,real_value,model_mean,model_std,model_min,model_max,abs_error,z_score,model_range,z_range,metric,plot
Phthiria_sp2,5.0,1.5413,2.529651008226696,0.0,27.0,3.4587000000000003,1.3672637011002455,27.0,0.12810000000000002,HELL,HELL_A3_model2.csv
Plebejus_argus,9.0,4.9227,4.740060287290943,0.0,27.0,4.0773,0.8601789329414361,27.0,0.15101111111111112,HELL,HELL_A3_model2.csv
Rhyzobius_lophanthae,1.0,0.1094,0.5982202159261032,0.0,17.0,0.8906000000000001,1.4887494208487495,17.0,0.05238823529411765,HELL,HELL_A3_model2.csv
Tiphia_morio,1.0,0.024,0.274283654548198,0.0,13.0,0.976,3.558360054694744,13.0,0.07507692307692307,HELL,HELL_A3_model2.csv
Tychius_sp,2.0,0.835,1.8762001526226535,0.0,25.0,1.165,0.620935883824282,25.0,0.0466,HELL,HELL_A3_model2.csv
Usia_sp,2.0,0.0033,0.0623658476242807,0.0,2.0,1.9967,32.015920188065095,2.0,0.99835,HELL,HELL_A3_model2.csv
Xylocopa_cantabrita,2.0,0.5195,1.4106093477193367,0.0,24.0,1.4805000000000001,1.0495464264388026,24.0,0.061687500000000006,HELL,HELL_A3_model2.csv
Acmaeodera_sp,2.0,0.0071,0.1290397424265587,0.0,7.0,1.9929,15.444079184629754,7.0,0.2847,KL,KL_A3_model2.csv
Anthrenus_sp,5.0,1.4625,2.779706176314804,0.0,26.0,3.5375,1.2726165197394501,26.0,0.13605769230769232,KL,KL_A3_model2.csv
Attagenus_sp,11.0,8.4339,6.626297727400807,0.0,27.0,2.5661000000000005,0.3872599912600915,27.0,0.09504074074074076,KL,KL_A3_model2.csv
Bombylius_sp,1.0,0.0,0.0,0.0,0.0,1.0,,0.0,,KL,KL_A3_model2.csv
Buprestidae_sp1,1.0,0.0,0.0,0.0,0.0,1.0,,0.0,,KL,KL_A3_model2.csv
Ceratina_sp,4.0,0.9847,2.1551172504150014,0.0,27.0,3.0153,1.3991350119903485,27.0,0.11167777777777778,KL,KL_A3_model2.csv
Chasmatopterus_sp,12.0,10.7973,7.278194138726468,0.0,27.0,1.2027,0.16524703478306055,27.0,0.04454444444444445,KL,KL_A3_model2.csv
Coptocephala_sp,2.0,0.2454,0.8631647266510205,0.0,17.0,1.7546,2.0327522034034518,17.0,0.10321176470588235,KL,KL_A3_model2.csv
Curculionidae,1.0,0.0,0.0,0.0,0.0,1.0,,0.0,,KL,KL_A3_model2.csv
Halictidae_sp1,1.0,0.004,0.10288371351118014,0.0,6.0,0.996,9.680832524496376,6.0,0.166,KL,KL_A3_model2.csv
Halictidae_sp3,1.0,0.0117,0.1771051851998197,0.0,8.0,0.9883,5.5802996331527295,8.0,0.1235375,KL,KL_A3_model2.csv
Heliotaurus_ruficollis,2.0,0.0249,0.2559033775741645,0.0,12.0,1.9751,7.718147445817075,12.0,0.16459166666666666,KL,KL_A3_model2.csv
Lasioglossum_sp3,3.0,0.0411,0.2749879121619412,0.0,11.0,2.9589,10.760109332578573,11.0,0.26899090909090906,KL,KL_A3_model2.csv
Lasioglossum_sp4,3.0,0.0484,0.3125175302613795,0.0,10.0,2.9516,9.444590188369201,10.0,0.29516,KL,KL_A3_model2.csv
Lasioglossum_sp5,5.0,0.4149,1.015805678325148,0.0,20.0,4.5851,4.513757008682877,20.0,0.229255,KL,KL_A3_model2.csv
Malachius_sp,1.0,0.0043,0.09317928008856784,0.0,6.0,0.9957,10.685852037637307,6.0,0.16595000000000001,KL,KL_A3_model2.csv
Megachile_apicalis,2.0,0.5317,1.4582893302692281,0.0,23.0,1.4683000000000002,1.0068646663751726,23.0,0.06383913043478262,KL,KL_A3_model2.csv
Microlepidoptera,3.0,0.0471,0.3054356218451102,0.0,10.0,2.9529,9.667831087159337,10.0,0.29529,KL,KL_A3_model2.csv
Oedemera_sp,6.0,0.1501,0.4862032798767783,0.0,15.0,5.8499,12.031798719010244,15.0,0.3899933333333333,KL,KL_A3_model2.csv
Paragus_tibialis,2.0,0.0125,0.12862894130192495,0.0,3.0,1.9875,15.451421584313831,3.0,0.6625,KL,KL_A3_model2.csv
Phthiria_sp1,4.0,0.1818,0.6580213212396099,0.0,18.0,3.8182,5.802547541783456,18.0,0.2121222222222222,KL,KL_A3_model2.csv
Phthiria_sp2,5.0,1.8008,3.1463485679325323,0.0,27.0,3.1992000000000003,1.016797704045295,27.0,0.1184888888888889,KL,KL_A3_model2.csv
Plebejus_argus,9.0,5.2679,5.354922698761475,0.0,27.0,3.7321,0.6969475023165483,27.0,0.13822592592592592,KL,KL_A3_model2.csv
Rhyzobius_lophanthae,1.0,0.1291,0.7097066706434684,0.0,17.0,0.8709,1.2271266933568241,17.0,0.051229411764705884,KL,KL_A3_model2.csv
Tiphia_morio,1.0,0.0256,0.29453915755215526,0.0,13.0,0.9744,3.308218873503972,13.0,0.07495384615384616,KL,KL_A3_model2.csv
Tychius_sp,2.0,0.973,2.228714364105838,0.0,25.0,1.0270000000000001,0.46080377842049464,25.0,0.041080000000000005,KL,KL_A3_model2.csv
Usia_sp,2.0,0.0035,0.0740830535944826,0.0,4.0,1.9965,26.949483088649185,4.0,0.499125,KL,KL_A3_model2.csv
Xylocopa_cantabrita,2.0,0.5978,1.617064207032293,0.0,24.0,1.4022000000000001,0.8671269785714811,24.0,0.058425000000000005,KL,KL_A3_model2.csv
Ancistrocerus_sp,1.0,2.696,5.0655058913195985,0.0,30.0,1.6960000000000002,0.33481354802218594,30.0,0.05653333333333334,MAE,MAE_A2_model2.csv
Andrena_sp,5.0,36.6266,5.287661900768404,0.0,48.0,31.626600000000003,5.98120692917299,48.0,0.6588875000000001,MAE,MAE_A2_model2.csv
Anthidiellum_strigatum,1.0,0.0,0.0,0.0,0.0,1.0,,0.0,,MAE,MAE_A2_model2.csv
Anthophora_sp,1.0,9.1645,8.120149840572129,0.0,37.0,8.1645,1.0054617415070688,37.0,0.22066216216216217,MAE,MAE_A2_model2.csv
Anthrenus_sp,6.0,4.3083,6.423346250024582,0.0,32.0,1.6917,0.2633673998180506,32.0,0.052865625,MAE,MAE_A2_model2.csv
Apis_mellifera,8.0,18.7051,9.46485564281008,0.0,43.0,10.705100000000002,1.131036795910571,43.0,0.2489558139534884,MAE,MAE_A2_model2.csv
Attagenus_sp,8.0,46.3136,1.312031700348077,37.0,48.0,38.3136,29.20173345646721,11.0,3.4830545454545456,MAE,MAE_A2_model2.csv
Bombus_terrestris,14.0,46.5333,1.2083199550248975,38.0,48.0,32.5333,26.92440844389568,10.0,3.2533299999999996,MAE,MAE_A2_model2.csv
Bombylius_sp,5.0,39.2204,4.35459758094927,0.0,48.0,34.2204,7.858452902676762,48.0,0.7129249999999999,MAE,MAE_A2_model2.csv
Ceratina_sp,7.0,12.5084,9.331722110294246,0.0,40.0,5.5084,0.5902876162507491,40.0,0.13771,MAE,MAE_A2_model2.csv
Chasmatopterus_sp,8.0,32.9287,6.446392162069476,0.0,47.0,24.9287,3.8670777968923895,47.0,0.5303978723404256,MAE,MAE_A2_model2.csv
Dasypoda_sp,2.0,15.3286,9.054535907601808,0.0,40.0,13.3286,1.4720356886331265,40.0,0.333215,MAE,MAE_A2_model2.csv
Diptera_sp1,2.0,10.2845,8.514317888763069,0.0,40.0,8.2845,0.9730080680841885,40.0,0.20711249999999998,MAE,MAE_A2_model2.csv
Diptera_sp10,1.0,1.4885,3.9298361430485933,0.0,27.0,0.48849999999999993,0.12430543722900447,27.0,0.01809259259259259,MAE,MAE_A2_model2.csv
Diptera_sp3,2.0,1.2055,3.553158066174986,0.0,24.0,0.7945,0.2236038997429934,24.0,0.033104166666666664,MAE,MAE_A2_model2.csv
Diptera_sp7,2.0,3.5186,5.824452460501903,0.0,31.0,1.5186000000000002,0.2607283706577184,31.0,0.04898709677419356,MAE,MAE_A2_model2.csv
Diptera_sp8,1.0,0.9065,3.057137935919135,0.0,23.0,0.09350000000000003,0.030584161382266533,23.0,0.004065217391304349,MAE,MAE_A2_model2.csv
Episyrphus_sp,1.0,0.0,0.0,0.0,0.0,1.0,,0.0,,MAE,MAE_A2_model2.csv
Eucera_sp,1.0,7.6681,7.68729157995088,0.0,35.0,6.6681,0.8674186390159806,35.0,0.19051714285714286,MAE,MAE_A2_model2.csv
Halictidae_sp1,4.0,6.6379,7.619736847750262,0.0,35.0,2.6379,0.3461930579372756,35.0,0.07536857142857144,MAE,MAE_A2_model2.csv
