"Plant_id";"Andrena_sp";"Anthidiellum_strigatum";"Anthrenus_sp";"Apis_mellifera";"Attagenus_sp";"Bombus_terrestris";"Bombylius_sp";"Ceratina_sp";"Chalicodoma_sicula";"Chasmatopterus_sp";"Dasypoda_sp";"Diodontus_insidiosus";"Diptera_sp10";"Diptera_sp6";"Diptera_sp7";"Episyrphus_sp";"Halictidae_sp1";"Halictus_sp";"Heliotaurus_ruficollis";"Lasioglossum_sp1";"Lasioglossum_sp2";"Lasioglossum_sp6";"Lindenius_luteiventris";"Lobonyx_aeneus";"Microlepidoptera";"Mordellidae_sp1";"Nitidulidae_sp1";"Nomada_sp";"Nustera_distigma";"Oedemera_sp";"Phthiria_sp";"Phthiria_sp1";"Plebejus_argus";"Pyronia_cecilia";"Rhyncomyia_cupraea";"Sphaerophoria_scripta";"Syrphidae_sp2";"Syrphidae_sp3";"Syrphidae_sp4";"Usia_sp";"Xylocopa_cantabrita"
"462";0;0;0.823134943708556;0;0;0;0;0;0;0;0;0;0;0;0;0;0.493880966225134;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"463";0;0;3.01032207984843;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"464";0;0;0.8273428008648;0;0;0;0;0;0;0;0;0;0;0;0;0;1.40204065247223;0;0;0;0.855105982101874;0;0;0;0;0.0152697496803906;0.0458092490411718;0;0;0;0;0;0;0;0.0152697496803906;0;0;0;0;0;0
"465";0;0;4.40259604177833;0;0;0;0;0;0;0;0;0;0;0;0;0;2.44588668987685;0;0;0;0.790209545960214;0;0;0;0;0.263403181986738;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"466";0;0;2.47089848822273;0;0;0;0;0;0;0;0;0;0;0;0;0;0.379259019428636;0;0;0;0.324188531675985;0;0;0;0.0675392774324969;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"467";0;0;0.788214067308799;0;0;0;0;0;0;0;0;0;0;0;0;0;0.109751325827807;0;0;0;0.419050516797083;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"468";0;0;0.324188531675985;0;0;0;0;0;0;0;0;0;0.405235664594981;0;0;0;0.175602121324492;0;0;0;1.12115200537945;0;0;0;0;0;0.0810471329189963;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"546";0;0;0;0;0;0.104895104895105;0;0;0;0.183206106870229;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"548";0;0;0;0;0;0;0;0;0;0.0626304801670146;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"549";0;0;0;0;0;0;0;0;0;0.0628259969425578;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0391298324742384;0;0;0;0;0;0;0;0;0
"550";0;0;0;0;0;0.0194097246268067;0;0;0;0.110729241831374;0;0;0;0;0;0;0;0;0.0205960661722859;0;0.0172530885571615;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00215663606964519
"551";0;0;0;0;0;0;0;0;0;0.165289625775726;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"552";0;0;0;0;0;0;0;0;0;0.453807286985251;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"554";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.022969211662378;0;0;0;0;0;0;0;0;0;0;0;0.0260756192959583;0;0;0;0;0;0;0;0;0;0
"556";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.028639914790995;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"557";0;0;0;0;0;0;0;0;0;0.0671614376092922;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"559";0;0;0;0;0;0;0;0;0;0.099009900990099;0;0;0;0;0;0;0;0.0792602377807133;0;0;0.132013201320132;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"560";0;0;0;0.0159508414322069;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0377225699476354;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"561";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0676946220383603;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.293343362166228
"562";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0863570201628798;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0863570201628798
