"Plant_id";"Acmaeodera_sp";"Anthrenus_sp";"Apis_mellifera";"Attagenus_sp";"Bombus_terrestris";"Bombylius_sp";"Cantharidae_sp";"Chasmatopterus_sp";"Coleoptera_sp1";"Diptera_sp3";"Diptera_sp4";"Diptera_sp9";"Episyrphus_balteatus";"Eristalis_sp";"Eucera_sp";"Eupeodes_sp";"Halictidae_sp1";"Heliotaurus_ruficollis";"Lasioglossum_sp2";"Lasioglossum_sp3";"Lobonyx_aeneus";"Malachius_sp";"Metasyrphus_corollae";"Nitidulidae_sp1";"Nustera_distigma";"Oedemera_sp";"Phthiria_sp";"Phthiria_sp1";"Rhyncomyia_cupraea";"Syrphidae_sp2";"Syrphidae_sp3";"Xylocopa_cantabrita"
"506";0;0;0;0;0;0;0;1.03917934271615;0;0;0;0;0;0;0;0;0;0.0629595098671525;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"507";0;0;0;0;0;0;0;2.28330732803525;0;0;0;0;0;0;0;0;0;0.118481585169364;0.221720143348744;0;0;0;0;0;0;0;0;0;0;0;0;0
"509";0;0;0;0;0;0;0;1.27686606498711;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0812457684495599;0;0;0;0;0;0
"510";0;0;0;0;0;0;0;0.209927420197834;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"511";0;0;0;0;0;0;0;0.0106872141191624;0;0;0;0;0;0;0;0;0;0.0108162306213419;0.217164784489377;0;0;0;0;0;0;0;0;0.00267180352979061;0;0;0;0
"512";0;0;0;0;0;0;0;0.689120728061245;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"513";0;0;0.0278293135435993;0;0;0;0;0.114219986439974;0;0;0;0;0;0;0;0;0;0.20051206177398;0.110361837834071;0;0.0134369486016368;0;0;0;0;0.0345025876940771;0;0;0;0;0;0
"515";0;0;0;0;0.100795511909578;0;0;1.98917711560565;0;0;0;0;0;0;0;0;0;0.182669133508133;0.0731839150388926;0;0;0;0;0;0;0;0.0276115968706857;0;0;0;0;0
"587";0;0;0;1.17068080882995;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"588";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.87801060662246;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
