"Plant_id";"Andrena_sp";"Anthrenus_sp";"Apis_mellifera";"Attagenus_sp";"Bombus_terrestris";"Bombylius_sp";"Ceratina_sp";"Chalicodoma_sicula";"Chasmatopterus_sp";"Chelostoma_sp";"Dasypoda_sp";"Deilus_sp";"Diodontus_insidiosus";"Diptera_sp1";"Diptera_sp3";"Diptera_sp4";"Episyrphus_sp";"Eucera_sp";"Heliotaurus_ruficollis";"Hylaeus_sp";"Lasioglossum_sp1";"Lasioglossum_sp2";"Lasioglossum_sp6";"Lindenius_luteiventris";"Lobonyx_aeneus";"Megachile_sp";"Megachilidae_sp";"Nustera_distigma";"Nymphalis_polychloros";"Osmia_sp";"Phthiria_sp";"Phthiria_sp1";"Rhyncomyia_cupraea";"Sphaerophoria_scripta";"Syrphidae_sp3";"Tiphia_morio";"Usia_sp";"Vespidae";"Vespula_sp";"Xylocopa_cantabrita"
"393";0.0318678869804818;0;0;0;0;0;0;0;0.034965034965035;0;0;0;0.0897308075772682;0;0;0;0;0;0.622956590226356;0;0;0.347663603888785;0;0;0;0;0;0;0;0;0;0;0.0897308075772682;0;0;0;0;0;0;0.0271669928189456
"395";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0359066427289048;0;0;0;0;0.158730158730159;0;0;0;0
"486";0;0;0;0;0;0;0;0;0.0335946248600224;0;0;0;0;0;0;0;0;0;0.0204105413201316;0;0;1.17882135335447;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0671892497200448;0.0335946248600224
"488";0;0;0;0;0.218734855463331;0;0;0;0.386931788301541;0;0;0;0;0;0;0;0;0;0.153333886970777;0;0;0.80086134023981;0;0;0;0;0;0;0;0.366056572379368;0;0.00599899883152301;0;0;0;0;0;0;0;0.7018432062363
"489";0;0;0;0;0;0;0;0;0.872843359153015;0;0;0;0;0;0;0;0;0;0.0144109878153957;0;0;0.490728496374679;0;0;0;0;0;0;0;0;0.0319318786588611;0;0;0;0;0;0;0;0;0.0638637573177222
"493";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.076222782097181;0;0;1.17112796039592;0;0;0.119896508586376;0.00643605523052052;0;0;0;0;0;0;0.309207787772166;0;0;0;0;0;0;0
"494";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0103569413492812;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"495";0;0;0;0;0;0;0;0;0.523786384262717;0;0;0;0;0.0273972602739726;0;0;0;0;0.15243236219676;0;0;0.280175783006939;0;0;0.05819592628516;0;0;0;0;0.11639185257032;0;0.0952432356856318;0;0;0;0;0;0;0;0
"496";0;0;0;0;0.0484379603730035;0;0;0;2.40586083344262;0;0;0;0;0;0;0;0;0;0.600484296986552;0;0;0.0907258064516129;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.668626137233585
"497";0.0309597523219814;0;0;0;0;0;0;0;0.32420919507398;0;0;0;0;0;0;0;0;0;0.179421889156997;0;0;0.0309597523219814;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
