"Plant_id";"Ancistrocerus_sp";"Andrena_sp";"Anthidiellum_strigatum";"Anthophora_sp";"Anthrenus_sp";"Apis_mellifera";"Attagenus_sp";"Bombus_terrestris";"Bombylius_sp";"Ceratina_sp";"Chasmatopterus_sp";"Dasypoda_sp";"Diptera_sp1";"Diptera_sp10";"Diptera_sp3";"Diptera_sp7";"Diptera_sp8";"Episyrphus_sp";"Eucera_sp";"Halictidae_sp1";"Halictus_sp";"Heliotaurus_ruficollis";"Lasioglossum_sp2";"Lasioglossum_sp3";"Lasioglossum_sp4";"Lasioglossum_sp6";"Lobonyx_aeneus";"Lomatia_sp";"Mordellidae_sp";"Mylabris_sp";"Nustera_distigma";"Phthiria_sp";"Phthiria_sp1";"Plebejus_argus";"Rhyncomyia_cupraea";"Scaeva_sp";"Sphaerophoria_scripta";"Syrphidae_sp5";"Tiphia_morio";"Vespidae";"Vespula_sp";"Xylocopa_cantabrita"
"477";0;0;0;0;0;0.128806275195488;0;0;0;0;0.366039654295882;0;0;0;0;0;0;0;0;0;0;0.691582775655467;0.168382427858929;0;0;0;0;0;0;0;0;0;0.0241268950266405;0;0.0360217300974427;0;0;0;0;0;0;0
"479";0;0;0;0;0;0;0;0;0;0;0.990041700924205;0;0;0.0481264732946917;0;0;0;0;0;0;0;0;0.0646203554119548;0;0;0;0.0306798788610367;0;0;0;0;0;0.0613597577220733;0;0;0;0;0;0;0;0;0
"480";0;0;0;0;0;0;0;0;0;0;0.13675677061285;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"484";0;0;0;0;0;0;0;0;0;0;0.205801875378172;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"566";0;0;0;0;0;0;3.35240413437667;0;0;0;0;0;0;0;0;0;0;0;0;0.159638292113175;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"568";0;0;0;0;0;0;0.936544647063957;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.468272323531979;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"569";0;0;0;0;0;0;2.80963394119187;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.40481697059594;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"570";0;0;0;0;0;0;0.569520393484839;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"571";0;0;0;0;0;0;0.0992102380364361;0;0;0.00396840952145745;0;0;0;0;0;0;0;0;0;0.00396840952145745;0;0;0;0;0.0119052285643723;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"572";0;0;0.00302241172675546;0;0;0;0.302241172675546;0;0;0.0876499400759082;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00302241172675546;0;0;0;0;0;0;0;0.105784410436441
"572_1";0;0;0;0;0;0;0;0;0;0.143348670468973;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0716743352344865;0;0;0;0;0;0;0;0
"574";0;0;0;0;0;0;0.532377759127132;0;0;0.0371426343577069;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"575";0;0;0;0;0;0;2.80963394119187;0;0;0.200688138656562;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
